Bezeichnung / Feldgeräte,Beschreibung
6ES7365-0BA01-0AA0,SIMATIC S7-300 Anschaltung IM365
6ES7390-1AE80-0AA0,Universalrack Profilschiene
6ES7390-1AJ30-0AA0,SIMATIC S7-300 Profilschiene 830 mm
6ES7392-1AJ00-0AA0,SIMATIC S7-300 Frontstecker 20polig
6ES7392-1AM00-0AA0,SIMATIC S7-300 Frontstecker 40polig
6ES7400-0HR02-4AB0,"S7-400H,H-Bundle 414-5H"
6ES7400-1JA01-0AA0,"S7-400,UR2"
6ES7403-1JA01-0AA0,"S7-400,ER2"
6ES7403-1TA01-0AA0,"S7-400,ER1"
6ES7407-0DA02-0AA0,"S7-400,PS 4A"
6ES7407-0KA02-0AA0,"S7-400,PS 10A"
6ES7412-2EK07-0AB0,"S7-400,CPU412-DP"
6ES7414-2XL07-0AB0,"S7-400,CPU414-DP-2"
6ES7414-3XM07-0AB0,"S7-400,CPU414-DP-3"
6ES7422-1BH11-0AA0,"S7-400,16DO"
6ES7422-1BL00-0AA0,"S7-400,32DO"
6ES7431-1KF00-0AB0,"S7-400,SM 431 13 BIT"
6ES7431-1KF10-0AB0,"S7-400,SM 431 14 BIT"
6ES7431-7KF10-0AB0,"S7-400,SM 431 16 BIT"
6ES7440-1CS00-0YE0,"S7-400,CP440"
6ES7441-1AA05-0AE0,"S7-400,CP441"
6ES7460-0AA01-0AB0,"S7-400,IM460-0"
6ES7460-3AA01-0AB0,"S7-400,IM460-3"
6ES7461-0AA00-7AA0,"S7-400,IM461-0"
6ES7461-0AA01-0AA0,"S7-400,IM461-0"
6ES7461-3AA00-7AA0,"S7-400,IM461-3"
6ES7461-3AA01-0AA0,"S7-400,IM461-3"
6ES7468-1BF00-0AA0,"S7-400,IM46x-x"
6ES7468-1DB00-0AA0,"S7-400,IM46x-3"
6ES7510-1DJ01-0AB0,"ET200SP,CPU1510"
6ES7512-1DK01-0AB0,"ET200SP,CPU1512"
6ES7513-1AL01-0AB0,"S7-1500,CPU1513"
6ES7515-2AM01-0AB0,"S7-1500,CPU1515"
6ES7516-3AN01-0AB0,"S7-1500,CPU1516"
6ES7521-1BH00-0AB0,"S7-1500,16DI"
6ES7521-1BL00-0AB0,"S7-1500,32DI"
6ES7522-1BH01-0AB0,"S7-1500,16DO"
6ES7522-1BL01-0AB0,"S7-1500,32DO"
6ES7531-7KF00-0AB0,"S7-1500,8/4AI"
6ES7532-5HD00-0AB0,"S7-1500,4AO"
6ES7532-5HF00-0AB0,"S7-1500,8AO"
6ES7540-1AB00-0AA0,"S7-1500,CM PTP RS422/485 BA"
6ES7540-1AD00-0AA0,"S7-1500,CM PTP RS-232 BA"
6ES7541-1AB00-0AB0,"S7-1500,CM PTP RS-422/485 HF"
6ES7541-1AD00-0AB0,"S7-1500,CM PTP RS-232 HF"
6ES7590-1AE80-0AA0,"S7-1500,PRFS 482"
6ES7590-1AJ30-0AA0,"S7-1500,PRFS 830"
6ES7592-1BM00-0XB0,"S7-1500,FRNTS 35"
6ES7647-8BA11-7CA1,"Nanobox PC IPC227E, 2GB RAM"
6ES7647-8BA11-7CA1,"Nanobox PC IPC227E, 2GB RAM"
6ES7647-8BB21-7CA1,"Nanobox PC IPC227E, 4GB RAM"
6ES7658-7BA00-2YB0,"HMI,Opt Logon 3"
6ES7658-7BB00-2YB0,"HMI,Opt Logon 10"
6ES7658-7BX51-0YA0,"HMI,Opt Logon SW"
6ES7952-1AK00-0AA0,"S7-400,RAM 1MB"
6ES7952-1AL00-0AA0,"S7-400,RAM 2MB"
6ES7952-1AM00-0AA0,"S7-400,RAM 4MB"
6ES7952-1KK00-0AA0,"S7-400,FLASH 1MB"
6ES7952-1KM00-0AA0,"S7-400,FLASH 4MB"
6ES7953-8LJ31-0AA0,"S7-300,MMC 512kB"
6ES7953-8LL31-0AA0,"S7-300,MMC 2MB"
6ES7954-8LC02-0AA0,"S7-1500,MMC 4MB"
6ES7960-1AA04-5AA0,"S7-400H,Synch-Modul LWL 1m"
6ES7960-1AA04-5BA0,"S7-400H,Synch-Modul LWL 2m"
6ES7960-1AA04-5KA0,"S7-400H,Synch-Modul LWL 10m"
6ES7960-1AA06-0XA0,"S7-400H,Synch-Modul LWL<10m"
6ES7960-1AB06-0XA0,"S7-400H,Synch-Modul LWL<10km"
6ES7971-0BA00,"S7-400,BATT"
6ES7972-0AA02-0XA0,PB DP-Repeater
6ES7972-0BB52-0XA0,PB-Stecker 90°
6ES7972-0CB35-0XA0,TS-Adapter MPI
6FL4214-4NC91,Anbindung S7 an SICLIMAT X über TCP/IP
6FLD7-040-125,6FLD7-040-125 Upgrade Lizen
6FLD7-040-ALL,6FLD7-040-ALL Upgrade Lizen
6FLD7-125-ALL,6FLD7-125-ALL Upgrade Lizen
6FLD7-HLK-040,6FLD7-HLK-040 Runtime Lizen
6FLD7-HLK-125,6FLD7-HLK-125 Runtime Lizen
6FLD7-HLK-ALL,6FLD7-HLK-ALL Lizenz ohne D
6FLDONGLE,6FLDONGLE USB-Dongle zum
6FLXPGSW-41VM,6FLXPGSW-41VM SW-Paket X-PG
6GK7342-5DA03-0XE0,"S7-300,CP342-5"
6GK7443-1EX30-0XE0,"S7-400,CP443-1"
6GK7443-5DX05-0XE0,"S7-400,CP443-5"
6GK7542-1AX00-0XE0,"S7-1500,CM542-1"
6GK7542-5FX00-0XE0,"S7-1500,CM542-5"
6GK7543-1AX00-0XE0,"S7-1500,CM543-1"
7KT1531,"E-ZAEHLER,LC-DISPLAY,80A"
7KT1542,5A
7KT1546,"E-ZAEHLER,LC-DISPLAY,125A 3PH"
7KT1900,"KOMMUNIKATIONSMODUL, EIB-KNX"
7LF45110,Dig. Jahreszeitschaltuhr 1-Kanal AC230V
7LF45120,Dig. Jahreszeitschaltuhr 2-Kanal AC230V
7LF45212,Dig. Wochenzeitschaltuhr 1-Kanal AC24V
7ME6520.100-80,"Durchflussm. DN100,80m3/h,250 mm,AC230V"
7ME6520.125-120,"Durchflussm. DN125,120m3/h,250 mm,AC230V"
7ME6520.150-180,"Durchflussm. DN150,180m3/h,300 mm,AC230V"
7ME6520.200-320,"Durchflussm. DN200,320m3/h,350 mm,AC230V"
7ME6520.250-500,"Durchflussm. DN250,500m3/h,450 mm,AC230V"
7ME6520.25-5,"Durchflussm. DN25,5m3/h,200 mm,AC230V"
7ME6520.300-730,"Durchflussm. DN300,730m3/h,500 mm,AC230V"
7ME6520.350-970,"Durchflussm. DN350,970m3/h,550 mm,AC230V"
7ME6520.400-1270,"Durchflussm. DN400,1270m3/h,600 mm,AC230V"
7ME6520.40-13,"Durchflussm. DN40,13m3/h,200 mm,AC230V"
7ME6520.450-1600,"Durchflussm. DN450,1600m3/h,600 mm,AC230V"
7ME6520.500-1980,"Durchflussm. DN500,1980m3/h,600 mm,AC230V"
7ME6520.50-20,"Durchflussm. DN50,20m3/h,200 mm,AC230V"
7ME6520.65-35,"Durchflussm. DN65,35m3/h,200 mm,AC230V"
7ME6520.80-50,"Durchflussm. DN80,50m3/h,200 mm,AC230V"
"933-10,2-6.35-IP54",Sinusfilter IP54 zu G120P-4kW
"933-178-0,325-IP54",Sinusfilter IP54 zu G120P-55...90kW
"933-18-2,7-IP54",Sinusfilter IP54 zu G120P-5.5...7.5kW
"933-2,5-13-IP54",Sinusfilter IP54 zu G120P-0.37…0.75kW
9332-145-0.18-IP54,Sinusfilter IP54 zu G120P-55…75kW
9332-178-0.148-I5,Sinusfilter IP54 zu G120P-90kW
9332-18-1.45-IP54,Sinusfilter IP54 zu G120P-4...7.5kW
9332-2.5-10-IP54,Sinusfilter IP54 zu G120P-0.37…0.75kW
9332-38-0.69-IP54,Sinusfilter IP54 zu G120P-11...18.5kW
9332-60-0.445-IP54,Sinusfilter IP54 zu G120P-22...30kW
9332-7.7-3.4-IP54,Sinusfilter IP54 zu G120P-1.1...3.0kW
9332-90-0.292-IP54,Sinusfilter IP54 zu G120P-37...45kW
"933-32-1,8-IP54",Sinusfilter IP54 zu G120P-11...15kW
"933-38-1,65-IP54",Sinusfilter IP54 zu G120P-18.5kW
"933-60-0,95-IP54",Sinusfilter IP54 zu G120P-22...30kW
"933-7,7-5,8-IP54",Sinusfilter IP54 zu G120P-1.1...3.0kW
"933-90-0,68-IP20",Sinusfilter IP20 zu G120P-37...45kW
"933-90-0,68-IP54",Sinusfilter IP54 zu G120P-37...45kW
